,Course_Code,Course,Points1,Points2
1304,Course_Code,Course,Points1,Points2
1305,GY313,Environmental Health and Safety                   ,412,
1306,Course_Code,Course,Points1,Points2
1307,GY314,Earth and Ocean Sciences                          ,422,
1308,Course_Code,Course,Points1,Points2
1309,GY318,Biopharmaceutical Chemistry                       ,555,
1310,Course_Code,Course,Points1,Points2
1311,GY319,Mathematical Science                              ,543,
1312,Course_Code,Course,Points1,Points2
1313,GY320,Physics (Degree options: Applied Astrophysics Biom,465,
1314,Course_Code,Course,Points1,Points2
1315,GY321,Genetics and Genomics                             ,532,
1316,Course_Code,Course,Points1,Points2
1317,GY322,Agricultural Sciences                             ,485,
1318,Course_Code,Course,Points1,Points2
1319,GY350,Computer Science and Information Technology       ,495,
1320,Course_Code,Course,Points1,Points2
1321,GY401,Engineering (Undenominated)                       ,522,520
1322,Course_Code,Course,Points1,Points2
1323,GY402,Civil Engineering                                 ,533,521
1324,Course_Code,Course,Points1,Points2
1325,GY405,Mechanical Engineering                            ,541,
1326,Course_Code,Course,Points1,Points2
1327,GY406,Electronic and Computer Engineering               ,555,
1328,Course_Code,Course,Points1,Points2
1329,GY408,Biomedical Engineering                            ,554,
1330,Course_Code,Course,Points1,Points2
1331,GY410,Project and Construction Management               ,431,
1332,Course_Code,Course,Points1,Points2
1333,GY413,Energy Systems Engineering                        ,509,
1334,Course_Code,Course,Points1,Points2
1335,GY414,Electrical and Electronic Engineering             ,433,
1336,Course_Code,Course,Points1,Points2
1337,GY501,Medicine (five year/six year course  HPAT required,#737*,#737*
1338,Course_Code,Course,Points1,Points2
1339,GY502,Occupational Therapy                              ,601,
1340,Course_Code,Course,Points1,Points2
1341,GY503,Speech and Language Therapy                       ,578,
1342,Course_Code,Course,Points1,Points2
1343,GY504,Podiatric Medicine                                ,531,526
1344,Course_Code,Course,Points1,Points2
1345,GY515,General Nursing (Galway and Portiuncula)          ,502,496
1346,Course_Code,Course,Points1,Points2
1347,GY516,Mental Health Nursing                             ,475,441
1348,Course_Code,Course,Points1,Points2
1349,GY517,Midwifery                                         ,520,509
1350,Course_Code,Course,Points1,Points2
1351,LY108,Business - Accounting                             ,312,
1352,Course_Code,Course,Points1,Points2
1353,LY118,Business                                          ,288,
1354,Course_Code,Course,Points1,Points2
1355,LY128,Marketing with Online Technologies                ,261,261
1356,Course_Code,Course,Points1,Points2
1357,LY208,Law                                               ,300,290
1358,Course_Code,Course,Points1,Points2
1359,LY228,Sports and Exercise - Common Entry                ,290,
1360,Course_Code,Course,Points1,Points2
1361,LY408,Design - Common Entry                             ,#301,
1362,Course_Code,Course,Points1,Points2
1363,LY508,Fire Safety Engineering                           ,283,
1364,Course_Code,Course,Points1,Points2
1365,LY518,Quantity Surveying                                ,304,
1366,Course_Code,Course,Points1,Points2
1367,LY528,Construction Management                           ,262,
1368,Course_Code,Course,Points1,Points2
1369,LY538,Architectural Technology                          ,234,234
1370,Course_Code,Course,Points1,Points2
1371,LY608,Mechanical Engineering                            ,300,
1372,Course_Code,Course,Points1,Points2
1373,LY618,Electronic Engineering                            ,321,
1374,Course_Code,Course,Points1,Points2
1375,LY708,Applied Computing                                 ,320,
1376,Course_Code,Course,Points1,Points2
1377,LY748,Computer Science                                  ,316,
1378,Course_Code,Course,Points1,Points2
1379,LY818,Science - Common Entry                            ,302,
1380,Course_Code,Course,Points1,Points2
1381,LY828,Agriculture - Common Entry                        ,308,300
1382,Course_Code,Course,Points1,Points2
1383,LY908,General Nursing                                   ,429*,
1384,Course_Code,Course,Points1,Points2
1385,LY918,Psychiatric Nursing                               ,367*,
1386,Course_Code,Course,Points1,Points2
1387,LY928,Intellectual Disability Nursing                   ,357,
1388,Course_Code,Course,Points1,Points2
1389,LY968,Early Childhood Care  Health and Education        ,288,
1390,Course_Code,Course,Points1,Points2
1391,LY978,Health and Social Care - Common Entry             ,279,
1392,Course_Code,Course,Points1,Points2
1393,MI001,Contemporary and Applied Theatre Studies          ,209,
1394,Course_Code,Course,Points1,Points2
1395,MI002,Arts                                              ,280,
1396,Course_Code,Course,Points1,Points2
1397,MI004,Education - Primary Teaching - International      ,589,
1398,Course_Code,Course,Points1,Points2
1399,MI005,Education - Primary Teaching                      ,522,
1400,Course_Code,Course,Points1,Points2
1401,MI006,Education - Primary Teaching - Gaeltacht Applicant,#485,
1402,Course_Code,Course,Points1,Points2
1403,MI007,Early Childhood Care and Education                ,409,
1404,Course_Code,Course,Points1,Points2
1405,MI008,Education and Psychology - Primary Teaching       ,590,
1406,Course_Code,Course,Points1,Points2
1407,MI009,Education  Business Studies and Accounting        ,434,
1408,Course_Code,Course,Points1,Points2
1409,MI010,Education  Business Studies and Religious Studies ,370,
1410,Course_Code,Course,Points1,Points2
1411,MI011,Education  Gaeilge and Religious Studies          ,407,
1412,Course_Code,Course,Points1,Points2
1413,MI012,Education  Gaeilge and Business Studies           ,387,
1414,Course_Code,Course,Points1,Points2
1415,MI013,Education  Mathematics and Gaeilge                ,509,
1416,Course_Code,Course,Points1,Points2
1417,MI014,Education  Mathematics and Business Studies       ,476,
1418,Course_Code,Course,Points1,Points2
1419,CI110,Counselling and Psychotherapy                     ,292,
1420,Course_Code,Course,Points1,Points2
1421,CI111,Counselling and Psychotherapy with Addiction Studi,290,
1422,Course_Code,Course,Points1,Points2
1423,CI112,Counselling and Psychotherapy with Youth Studies  ,325,
1424,Course_Code,Course,Points1,Points2
1425,LC110,Art and Design (Common Entry  portfolio)          ,#794,
1426,Course_Code,Course,Points1,Points2
1427,LC114,Fashion and Textiles for Product and Costume (port,#914,
1428,Course_Code,Course,Points1,Points2
1429,LC115,Art and Design Teacher Education (LIT and UL  port,#993,
1430,Course_Code,Course,Points1,Points2
1431,LC220,Digital Marketing                                 ,263,
1432,Course_Code,Course,Points1,Points2
1433,LC223,Law and Taxation                                  ,331,
1434,Course_Code,Course,Points1,Points2
1435,LC224,Accounting and Finance                            ,300,
1436,Course_Code,Course,Points1,Points2
1437,LC225,Marketing and Management                          ,298,
1438,Course_Code,Course,Points1,Points2
1439,LC226,Enterprise and Innovation                         ,255,
1440,Course_Code,Course,Points1,Points2
1441,LC233,Software Development                              ,280,
1442,Course_Code,Course,Points1,Points2
1443,LC234,Immersive Digital Media and Spatial Computing     ,226,
1444,Course_Code,Course,Points1,Points2
1445,LC236,Internet Systems Development                      ,260,
1446,Course_Code,Course,Points1,Points2
1447,LC239,Computer Networks and Systems Management          ,317,
1448,Course_Code,Course,Points1,Points2
1449,LC241,Construction Management                           ,326,
1450,Course_Code,Course,Points1,Points2
1451,LC242,Property Valuation and Management                 ,308,
1452,Course_Code,Course,Points1,Points2
1453,LC243,Quantity Surveying                                ,278,
1454,Course_Code,Course,Points1,Points2
1455,LC248,Built Environment (Common Entry)                  ,300,
1456,Course_Code,Course,Points1,Points2
1457,LC252,Civil Engineering Management                      ,264,
1458,Course_Code,Course,Points1,Points2
1459,LC263,Medical Technology                                ,391,
1460,Course_Code,Course,Points1,Points2
1461,LC265,Forensic and Pharmaceutical Sciences              ,498,
1462,Course_Code,Course,Points1,Points2
1463,LC266,Drug and Medicinal Product Analysis               ,252,
1464,Course_Code,Course,Points1,Points2
1465,LC275,Electrical Engineering                            ,361,347
1466,Course_Code,Course,Points1,Points2
1467,LC288,Mechanical Engineering                            ,378,369
1468,Course_Code,Course,Points1,Points2
1469,LC289,Precision Engineering                             ,261,
1470,Course_Code,Course,Points1,Points2
1471,LC292,Social Care Work                                  ,374,
1472,Course_Code,Course,Points1,Points2
1473,LC293,Business Studies with Travel and Tourism Managemen,271,264
1474,Course_Code,Course,Points1,Points2
1475,LC294,Business Studies with Event Management            ,279,
1476,Course_Code,Course,Points1,Points2
1477,LC295,Business Studies with Sports Management           ,262,
1478,Course_Code,Course,Points1,Points2
1479,LC297,Community and Addiction Studies                   ,272,262
1480,Course_Code,Course,Points1,Points2
1481,LC320,Business                                          ,381,
1482,Course_Code,Course,Points1,Points2
1483,LC330,Business with Computing                           ,328,308
1484,Course_Code,Course,Points1,Points2
1485,LC340,Interior Design                                   ,391,368
1486,Course_Code,Course,Points1,Points2
1487,LC362,Biotechnology and Biopharmaceutical Sciences      ,429,
1488,Course_Code,Course,Points1,Points2
1489,LC371,Creative Broadcast and Film Production            ,325,310
1490,Course_Code,Course,Points1,Points2
1491,LC372,Music Technology and Production                   ,377,
1492,Course_Code,Course,Points1,Points2
1493,LC374,Renewable and Electrical Energy Engineering       ,337,319
1494,Course_Code,Course,Points1,Points2
1495,LC375,Industrial Automation and Robotic Systems         ,309,
1496,Course_Code,Course,Points1,Points2
1497,LC376,Electronic Engineering with Computer Systems      ,357,
1498,Course_Code,Course,Points1,Points2
1499,LC380,Automotive Engineering and Transport Management   ,298,
1500,Course_Code,Course,Points1,Points2
1501,LC392,Business Studies in Beauty and Spa Management     ,328,317
1502,Course_Code,Course,Points1,Points2
1503,LC393,Early Childhood Education and Care                ,309,276
1504,Course_Code,Course,Points1,Points2
1505,LC402,Social Care Work                                  ,228,
1506,Course_Code,Course,Points1,Points2
1507,LC408,Environmental Science and Climate                 ,279,
1508,Course_Code,Course,Points1,Points2
1509,LC416,Business                                          ,260,
1510,Course_Code,Course,Points1,Points2
1511,LC418,Computing - Games Design and Development          ,260,256
1512,Course_Code,Course,Points1,Points2
1513,LC422,Applied Strength and Conditioning                 ,289,
1514,Course_Code,Course,Points1,Points2
1515,LC502,Game Art and Design (portfolio)                   ,#841,
1516,Course_Code,Course,Points1,Points2
1517,LC517,Creative Media and Design                         ,279,
1518,Course_Code,Course,Points1,Points2
1519,LC518,Digital Animation Production (portfolio)          ,#807,
1520,Course_Code,Course,Points1,Points2
1521,LC612,Social Care Work                                  ,309,
1522,Course_Code,Course,Points1,Points2
1523,LM002,Arts                                              ,360*,360
1524,Course_Code,Course,Points1,Points2
1525,LM019,Social Sciences                                   ,451,
1526,Course_Code,Course,Points1,Points2
1527,LM020,Law and Accounting                                ,474,
1528,Course_Code,Course,Points1,Points2
1529,LM026,Performing Arts (audition format TBC)             ,#329,
1530,Course_Code,Course,Points1,Points2
1531,LM028,Criminal Justice                                  ,420,
1532,Course_Code,Course,Points1,Points2
1533,LM029,Law Plus                                          ,530,
1534,Course_Code,Course,Points1,Points2
1535,LM038,Psychology and Sociology                          ,530,
1536,Course_Code,Course,Points1,Points2
1537,LM039,Journalism and Digital Communication              ,432,
1538,Course_Code,Course,Points1,Points2
1539,LM040,European Studies                                  ,409,
1540,Course_Code,Course,Points1,Points2
1541,LM044,Applied Languages                                 ,429,
1542,Course_Code,Course,Points1,Points2
1543,LM050,Business Studies (options)                        ,451,
1544,Course_Code,Course,Points1,Points2
1545,LM056,International Business                            ,555*,
1546,Course_Code,Course,Points1,Points2
1547,LM058,Financial Mathematics                             ,468,
1548,Course_Code,Course,Points1,Points2
1549,LM063,Technology Management                             ,410,
1550,Course_Code,Course,Points1,Points2
1551,LM066,Environmental Science                             ,430,
1552,Course_Code,Course,Points1,Points2
1553,LM068,Food Science and Health                           ,464*,
1554,Course_Code,Course,Points1,Points2
1555,LM076,Product Design and Technology (portfolio required),#401,
1556,Course_Code,Course,Points1,Points2
1557,LM077,Aeronautical Engineering                          ,567,
1558,Course_Code,Course,Points1,Points2
1559,LM082,Construction Management and Engineering           ,446*,
1560,Course_Code,Course,Points1,Points2
1561,LM089,Sport and Exercise Sciences                       ,498*,
1562,Course_Code,Course,Points1,Points2
1563,LM090,Physical Education with concurrent Teacher Educati,552,544*
1564,Course_Code,Course,Points1,Points2
1565,LM091,Languages with concurrent Teacher Education       ,506,
1566,Course_Code,Course,Points1,Points2
1567,LM092,Science with Teacher Ed (Biology with Physics/Chem,521,
1568,Course_Code,Course,Points1,Points2
1569,LM093,Equine Science                                    ,367,
1570,Course_Code,Course,Points1,Points2
1571,LM094,Materials and Architectural Technology with concur,475,
1572,Course_Code,Course,Points1,Points2
1573,LM095,Materials and Engineering Technology with concurre,425,
1574,Course_Code,Course,Points1,Points2
1575,LM096,Science with Teacher Ed (Physical Sciences with Ch,454,
1576,Course_Code,Course,Points1,Points2
1577,LM097,Mathematics and Computer Science with concurrent T,465,
1578,Course_Code,Course,Points1,Points2
1579,LM099,Architecture                                      ,520,
1580,Course_Code,Course,Points1,Points2
1581,LM100,Physiotherapy                                     ,613*,
1582,Course_Code,Course,Points1,Points2
1583,LM101,Medicine  - Graduate Entry (GAMSAT required)      ,#57*,
1584,Course_Code,Course,Points1,Points2
1585,LM102,Psychology                                        ,534,
1586,Course_Code,Course,Points1,Points2
1587,LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,#429,
1588,Course_Code,Course,Points1,Points2
1589,LM105,Exercise and Health Fitness Management            ,441,
1590,Course_Code,Course,Points1,Points2
1591,LM115,Chemical and Biochemical Engineering              ,476,
1592,Course_Code,Course,Points1,Points2
1593,LM116,Engineering (Biomedical/Civil/Design and Manufactu,498*,
1594,Course_Code,Course,Points1,Points2
1595,LM118,Electronic and Computer Engineering               ,445,
1596,Course_Code,Course,Points1,Points2
1597,LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,
1598,Course_Code,Course,Points1,Points2
1599,LM122,Creative Media and Interaction Design (Digital Des,382,
1600,Course_Code,Course,Points1,Points2
1601,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind ,498*,
1602,Course_Code,Course,Points1,Points2
1603,LM124,Mathematics (Math Science/Maths and Physics/Econom,455,
1604,Course_Code,Course,Points1,Points2
1605,LM125,Physics (Applied Physics or Mathematics and Physic,489,
1606,Course_Code,Course,Points1,Points2
1607,LM150,General Nursing                                   ,498*,487
1608,Course_Code,Course,Points1,Points2
1609,LM152,Mental Health Nursing                             ,478,466
1610,Course_Code,Course,Points1,Points2
1611,LM154,Intellectual Disability Nursing                   ,462,443
1612,Course_Code,Course,Points1,Points2
1613,LM156,Midwifery                                         ,521*,508
1614,Course_Code,Course,Points1,Points2
1615,MU001,Theology and Arts                                 ,294,294
1616,Course_Code,Course,Points1,Points2
1617,MU002,Theology                                          ,,
1618,Course_Code,Course,Points1,Points2
1619,MH001,Education - Primary Teaching (Froebel)            ,564,
1620,Course_Code,Course,Points1,Points2
1621,MH002,Education - Primary Teaching - Gaeltacht Applicant,,
1622,Course_Code,Course,Points1,Points2
1623,MH003,Early Childhood - Teaching and Learning (full-time,381,
1624,Course_Code,Course,Points1,Points2
1625,MH101,Arts                                              ,338,336
1626,Course_Code,Course,Points1,Points2
1627,MH103,Music                                             ,#,
1628,Course_Code,Course,Points1,Points2
1629,MH106,Psychology - 3 years                              ,554,
1630,Course_Code,Course,Points1,Points2
1631,MH107,Social Science                                    ,390,
1632,Course_Code,Course,Points1,Points2
1633,MH109,Media Studies                                     ,324,
1634,Course_Code,Course,Points1,Points2
1635,MH116,Community and Youth Work (Full-Time)              ,#,
1636,Course_Code,Course,Points1,Points2
1637,MH201,Science                                           ,401,400
1638,Course_Code,Course,Points1,Points2
1639,MH202,Biotechnology                                     ,490,489
1640,Course_Code,Course,Points1,Points2
1641,MH203,Biological and Geographical Sciences              ,451,
1642,Course_Code,Course,Points1,Points2
1643,MH204,Physics with Astrophysics                         ,422,
1644,Course_Code,Course,Points1,Points2
1645,MH206,Theoretical Physics and Mathematics               ,521,
1646,Course_Code,Course,Points1,Points2
1647,MH207,Data Science                                      ,444,
1648,Course_Code,Course,Points1,Points2
1649,MH208,Biological and Biomedical Sciences                ,543,
1650,Course_Code,Course,Points1,Points2
1651,MH209,Psychology (through Science) - 4 years            ,529,
1652,Course_Code,Course,Points1,Points2
1653,MH210,Pharmaceutical and Biomedical Chemistry           ,510,
1654,Course_Code,Course,Points1,Points2
1655,MH212,Science|Maths and Computer Science|Mathematics (wi,452,443
1656,Course_Code,Course,Points1,Points2
1657,MH304,Engineering (Computer/Electronic/Communications)  ,351,351
1658,Course_Code,Course,Points1,Points2
1659,MH305,Product Design                                    ,326,
1660,Course_Code,Course,Points1,Points2
1661,MH306,Robotics and Intelligent Devices                  ,362,
1662,Course_Code,Course,Points1,Points2
1663,MH401,Finance (options)                                 ,370,
1664,Course_Code,Course,Points1,Points2
1665,MH402,Quantitative Finance                              ,476,
1666,Course_Code,Course,Points1,Points2
1667,MH403,Accounting and Finance                            ,424,
1668,Course_Code,Course,Points1,Points2
1669,MH404,Business (options)                                ,441,
1670,Course_Code,Course,Points1,Points2
1671,MH407,Business and Accounting                           ,423,
1672,Course_Code,Course,Points1,Points2
1673,MH411,Entrepreneurship                                  ,378,
1674,Course_Code,Course,Points1,Points2
1675,MH501,LLB Law - four year Single Major Law programme    ,507,
1676,Course_Code,Course,Points1,Points2
1677,MH502,Law (options)                                     ,465,
1678,Course_Code,Course,Points1,Points2
1679,MH601,Computer Science through Arts (options)           ,381,
1680,Course_Code,Course,Points1,Points2
1681,MH602,Computer Science through Science (options)        ,400,
1682,Course_Code,Course,Points1,Points2
1683,MH603,Computational Thinking                            ,520,
1684,Course_Code,Course,Points1,Points2
1685,MH801,Early Childhood - Teaching and Learning (part-time,AQA,AQA
1686,Course_Code,Course,Points1,Points2
1687,MH802,Community and Youth Work (part-time  in service)  ,,#
1688,Course_Code,Course,Points1,Points2
1689,MH803,Local Studies/Community Studies (part-time  evenin,,#
1690,Course_Code,Course,Points1,Points2
1691,AS001,Education  Home Economics and Biology - with concu,542,533
1692,Course_Code,Course,Points1,Points2
1693,AS002,Education  Home Economics and Religious Ed - with ,464,452*
1694,Course_Code,Course,Points1,Points2
1695,AS003,Education  Home Economics and Irish - with concurr,463*,457
1696,Course_Code,Course,Points1,Points2
1697,AS051,Nutrition  Food and Business Management           ,378,347
1698,Course_Code,Course,Points1,Points2
1699,AS054,Home Economics                                    ,440*,419*
1700,Course_Code,Course,Points1,Points2
1701,AS110,General Nursing                                   ,440*,432
1702,Course_Code,Course,Points1,Points2
1703,AS130,Intellectual Disability Nursing                   ,387,358
1704,Course_Code,Course,Points1,Points2
1705,SG141,Business                                          ,262,
1706,Course_Code,Course,Points1,Points2
1707,SG145,Business and ICT                                  ,279,
1708,Course_Code,Course,Points1,Points2
1709,SG146,Accounting                                        ,304,
1710,Course_Code,Course,Points1,Points2
1711,SG147,Sport with Business                               ,288,
1712,Course_Code,Course,Points1,Points2
1713,SG148,Tourism with Event Management                     ,298,
1714,Course_Code,Course,Points1,Points2
1715,SG150,Business in Marketing                             ,298,
1716,Course_Code,Course,Points1,Points2
1717,SG241,Performing Arts                                   ,341,
1718,Course_Code,Course,Points1,Points2
1719,SG242,Early Childhood Care and Education                ,287,
1720,Course_Code,Course,Points1,Points2
1721,SG243,Social Care Practice                              ,309,
1722,Course_Code,Course,Points1,Points2
1723,SG244,Fine Art                                          ,#501,
1724,Course_Code,Course,Points1,Points2
1725,SG245,Creative Design                                   ,332,
1726,Course_Code,Course,Points1,Points2
1727,SG246,Computing                                         ,316,
1728,Course_Code,Course,Points1,Points2
1729,SG247,English and Psychology                            ,319,
1730,Course_Code,Course,Points1,Points2
1731,SG248,Sociology and Politics                            ,298,
1732,Course_Code,Course,Points1,Points2
1733,SG249,Writing and Literature                            ,308,
1734,Course_Code,Course,Points1,Points2
1735,SG252,Software Development                              ,310,
1736,Course_Code,Course,Points1,Points2
1737,SG253,Computing in Computer Networks and Cyber Security ,336,
1738,Course_Code,Course,Points1,Points2
1739,SG254,Writing and Literature Online                     ,327,
1740,Course_Code,Course,Points1,Points2
1741,SG255,Law and Business                                  ,291,
1742,Course_Code,Course,Points1,Points2
1743,SG341,General Engineering                               ,373,
1744,Course_Code,Course,Points1,Points2
1745,SG342,Civil Engineering                                 ,418,
1746,Course_Code,Course,Points1,Points2
1747,SG343,Quantity Surveying                                ,300,
1748,Course_Code,Course,Points1,Points2
1749,SG344,Mechanical Engineering                            ,412,
1750,Course_Code,Course,Points1,Points2
1751,SG346,Construction Project Management and Applied Techno,313,
1752,Course_Code,Course,Points1,Points2
1753,SG347,Architecture                                      ,403,
1754,Course_Code,Course,Points1,Points2
1755,SG348,Interior Architecture and Design                  ,359,
1756,Course_Code,Course,Points1,Points2
1757,SG349,Electronics and Self Driving Technologies         ,,
1758,Course_Code,Course,Points1,Points2
1759,SG350,Robotics and Automation                           ,384,
1760,Course_Code,Course,Points1,Points2
1761,SG442,Occupational Safety and Health                    ,307,
1762,Course_Code,Course,Points1,Points2
1763,SG443,Human Nutrition                                   ,376,
1764,Course_Code,Course,Points1,Points2
1765,SG444,Science Undenominated                             ,358,
1766,Course_Code,Course,Points1,Points2
1767,SG445,Pharmaceutical Science with Drug Development      ,357,
1768,Course_Code,Course,Points1,Points2
1769,SG447,Health Science and Physical Activity              ,326,
1770,Course_Code,Course,Points1,Points2
1771,SG448,Forensic Investigation and Analysis               ,308,
1772,Course_Code,Course,Points1,Points2
1773,SG449,Medical Biotechnology                             ,315,
1774,Course_Code,Course,Points1,Points2
1775,SG450,Environmental Science with Ecology (Level 8)      ,310,
1776,Course_Code,Course,Points1,Points2
1777,TL801,Animation  Visual Effects and Motion Design (Level,#718,
1778,Course_Code,Course,Points1,Points2
1779,TL802,TV  Radio and New Media (Level 8)                 ,322,
1780,Course_Code,Course,Points1,Points2
1781,TL810,Computing with Software Development               ,308,
1782,Course_Code,Course,Points1,Points2
1783,TL811,Computing with Games Development                  ,322,
1784,Course_Code,Course,Points1,Points2
1785,TL815,Computing (Degree Award options)                  ,307,
1786,Course_Code,Course,Points1,Points2
1787,TL823,Event Management (3 year programme)               ,293,
1788,Course_Code,Course,Points1,Points2
1789,TL831,Business Studies (Major Specialism in: Acctng or M,306,
1790,Course_Code,Course,Points1,Points2
1791,TL842,Construction Management                           ,,
1792,Course_Code,Course,Points1,Points2
1793,TL844,Agricultural Engineering                          ,301,
1794,Course_Code,Course,Points1,Points2
1795,TL845,Civil Engineering                                 ,361,
1796,Course_Code,Course,Points1,Points2
1797,TL847,Manufacturing Engineering                         ,305,
1798,Course_Code,Course,Points1,Points2
1799,TL848,Agricultural Science                              ,307,
1800,Course_Code,Course,Points1,Points2
1801,TL851,Wildlife Biology (Degree Award options)           ,309,
1802,Course_Code,Course,Points1,Points2
1803,TL855,Pharmaceutical Science (Degree Award options)     ,316,
1804,Course_Code,Course,Points1,Points2
1805,TL858,Veterinary Bioscience                             ,317,
1806,Course_Code,Course,Points1,Points2
1807,TL871,Health and Leisure (Degree Award options)         ,303,
1808,Course_Code,Course,Points1,Points2
1809,TL872,Health and Leisure with Massage                   ,314,
1810,Course_Code,Course,Points1,Points2
1811,TL873,Coaching and Sports Performance                   ,308,
1812,Course_Code,Course,Points1,Points2
1813,TL874,Inclusive Sport and Physical Activity             ,341,
1814,Course_Code,Course,Points1,Points2
1815,TL880,Early Childhood Care and Education                ,309,
1816,Course_Code,Course,Points1,Points2
1817,TL881,Social Care                                       ,301,
1818,Course_Code,Course,Points1,Points2
1819,TL889,Counselling with Addiction - Mature applicants onl,,
1820,Course_Code,Course,Points1,Points2
1821,TL890,General Nursing and Mature Applicants             ,463,
1822,Course_Code,Course,Points1,Points2
1823,TL891,Mental Health Nursing and Mature Applicants       ,440,419
1824,Course_Code,Course,Points1,Points2
1825,WD001,Applied Computing (options)                       ,270,261
1826,Course_Code,Course,Points1,Points2
1827,WD002,Science (options)                                 ,279,
1828,Course_Code,Course,Points1,Points2
1829,WD005,Health Sciences (options)                         ,271,
1830,Course_Code,Course,Points1,Points2
1831,WD006,Exercise Sciences (options)                       ,270,
1832,Course_Code,Course,Points1,Points2
1833,WD007,Engineering (options)                             ,270,270
1834,Course_Code,Course,Points1,Points2
1835,WD025,Construction Management and Engineering           ,262,
1836,Course_Code,Course,Points1,Points2
1837,WD027,Music                                             ,#321,
1838,Course_Code,Course,Points1,Points2
1839,WD048,Business (options)                                ,279,
1840,Course_Code,Course,Points1,Points2
1841,WD084,Accounting                                        ,308,
1842,Course_Code,Course,Points1,Points2
1843,WD091,Hospitality Management                            ,225,
1844,Course_Code,Course,Points1,Points2
1845,WD116,General Nursing                                   ,446,
1846,Course_Code,Course,Points1,Points2
1847,WD117,Psychiatric Nursing                               ,415,
1848,Course_Code,Course,Points1,Points2
1849,WD120,Intellectual Disability Nursing                   ,390,
1850,Course_Code,Course,Points1,Points2
1851,WD134,International Business                            ,267,
1852,Course_Code,Course,Points1,Points2
1853,WD137,Design (Visual Communications)                    ,252,
1854,Course_Code,Course,Points1,Points2
1855,WD140,Laws                                              ,280,
1856,Course_Code,Course,Points1,Points2
1857,WD144,Architecture                                      ,309,
1858,Course_Code,Course,Points1,Points2
1859,WD147,Pharmaceutical Science                            ,288,
1860,Course_Code,Course,Points1,Points2
1861,WD150,Criminal Justice Studies                          ,280,
1862,Course_Code,Course,Points1,Points2
1863,WD152,Visual Art                                        ,243,
1864,Course_Code,Course,Points1,Points2
1865,WD161,Computer Forensics and Security                   ,270,
1866,Course_Code,Course,Points1,Points2
1867,WD162,Quantity Surveying                                ,226,
1868,Course_Code,Course,Points1,Points2
1869,WD163,Psychology                                        ,456,
1870,Course_Code,Course,Points1,Points2
1871,WD186,Sports Coaching and Performance                   ,261,
1872,Course_Code,Course,Points1,Points2
1873,WD187,Social Science                                    ,276,
1874,Course_Code,Course,Points1,Points2
1875,WD191,Agricultural Science                              ,377,
1876,Course_Code,Course,Points1,Points2
1877,WD192,Social Care Practice                              ,271,
1878,Course_Code,Course,Points1,Points2
1879,WD193,Marketing and Digital Media                       ,279,
1880,Course_Code,Course,Points1,Points2
1881,WD194,Culinary Arts                                     ,237,
1882,Course_Code,Course,Points1,Points2
1883,WD195,Architectural and Building Information Modelling T,279,
1884,Course_Code,Course,Points1,Points2
1885,WD200,Arts (options)                                    ,201,201
1886,Course_Code,Course,Points1,Points2
1887,WD210,Software Systems Development                      ,260,
1888,Course_Code,Course,Points1,Points2
1889,WD211,Creative Computing                                ,270,
1890,Course_Code,Course,Points1,Points2
1891,WD212,Recreation and Sport Management                   ,262,
1892,Course_Code,Course,Points1,Points2
1893,WD230,Mechanical and Manufacturing Engineering          ,230,230
1894,Course_Code,Course,Points1,Points2
1895,WD231,Early Childhood Care and Education                ,266,
1896,Course_Code,Course,Points1,Points2
1897,WD232,Business Information Systems                      ,261,261
